timestamp,request_id,client_ip,user_agent,content_type,body_size,raw_body,parsed_json
2025-11-14T10:48:11.809735,req_13_104811,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051811152"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051811153754"",""ct"":""20251114T051811"",""lt"":""20251114T051811"",""st"":137,""et"":""20271114T051811"",""cs"":62,""con"":""['112', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051811152"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051811153754"", ""ct"": ""20251114T051811"", ""lt"": ""20251114T051811"", ""st"": 137, ""et"": ""20271114T051811"", ""cs"": 62, ""con"": ""['112', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:16.831777,req_14_104816,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051816183"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051816184468"",""ct"":""20251114T051816"",""lt"":""20251114T051816"",""st"":138,""et"":""20271114T051816"",""cs"":62,""con"":""['113', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051816183"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051816184468"", ""ct"": ""20251114T051816"", ""lt"": ""20251114T051816"", ""st"": 138, ""et"": ""20271114T051816"", ""cs"": 62, ""con"": ""['113', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:21.860219,req_15_104821,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051821210"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051821210761"",""ct"":""20251114T051821"",""lt"":""20251114T051821"",""st"":139,""et"":""20271114T051821"",""cs"":62,""con"":""['114', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051821210"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051821210761"", ""ct"": ""20251114T051821"", ""lt"": ""20251114T051821"", ""st"": 139, ""et"": ""20271114T051821"", ""cs"": 62, ""con"": ""['114', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:26.903889,req_16_104826,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051826246"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051826246856"",""ct"":""20251114T051826"",""lt"":""20251114T051826"",""st"":140,""et"":""20271114T051826"",""cs"":62,""con"":""['115', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051826246"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051826246856"", ""ct"": ""20251114T051826"", ""lt"": ""20251114T051826"", ""st"": 140, ""et"": ""20271114T051826"", ""cs"": 62, ""con"": ""['115', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:31.936371,req_17_104831,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051831275"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051831276727"",""ct"":""20251114T051831"",""lt"":""20251114T051831"",""st"":141,""et"":""20271114T051831"",""cs"":62,""con"":""['116', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051831275"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051831276727"", ""ct"": ""20251114T051831"", ""lt"": ""20251114T051831"", ""st"": 141, ""et"": ""20271114T051831"", ""cs"": 62, ""con"": ""['116', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:36.972093,req_18_104836,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051836312"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051836313978"",""ct"":""20251114T051836"",""lt"":""20251114T051836"",""st"":142,""et"":""20271114T051836"",""cs"":62,""con"":""['117', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051836312"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051836313978"", ""ct"": ""20251114T051836"", ""lt"": ""20251114T051836"", ""st"": 142, ""et"": ""20271114T051836"", ""cs"": 62, ""con"": ""['117', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:41.993337,req_19_104841,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051841334"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051841335644"",""ct"":""20251114T051841"",""lt"":""20251114T051841"",""st"":143,""et"":""20271114T051841"",""cs"":62,""con"":""['118', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051841334"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051841335644"", ""ct"": ""20251114T051841"", ""lt"": ""20251114T051841"", ""st"": 143, ""et"": ""20271114T051841"", ""cs"": 62, ""con"": ""['118', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:47.006027,req_20_104846,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051846354"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051846354568"",""ct"":""20251114T051846"",""lt"":""20251114T051846"",""st"":144,""et"":""20271114T051846"",""cs"":62,""con"":""['119', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051846354"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051846354568"", ""ct"": ""20251114T051846"", ""lt"": ""20251114T051846"", ""st"": 144, ""et"": ""20271114T051846"", ""cs"": 62, ""con"": ""['119', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:52.027992,req_21_104852,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051851378"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051851378373"",""ct"":""20251114T051851"",""lt"":""20251114T051851"",""st"":145,""et"":""20271114T051851"",""cs"":62,""con"":""['120', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051851378"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051851378373"", ""ct"": ""20251114T051851"", ""lt"": ""20251114T051851"", ""st"": 145, ""et"": ""20271114T051851"", ""cs"": 62, ""con"": ""['120', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
2025-11-14T10:48:57.071684,req_22_104857,10.2.16.116,unknown,application/json,496,"{""m2m:sgn"":{""sur"":""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"",""nev"":{""rep"":{""m2m:cin"":{""rn"":""4-20251114051856412"",""ty"":4,""pi"":""3-20251108122108881442"",""ri"":""4-20251114051856413073"",""ct"":""20251114T051856"",""lt"":""20251114T051856"",""st"":146,""et"":""20271114T051856"",""cs"":62,""con"":""['121', 'example', 'example', 'example', 'example', 'example']"",""lbl"":[""people_count"",""crowd_density"",""loitering_detection"",""fall_detection"",""fight_detection"",""running_detection""],""cr"":""SOriginAE-CM""}},""net"":3},""rvi"":""2a""}}","{""m2m:sgn"": {""sur"": ""Mobius/AE-CM/CM01-0032-0001/Data/sub-1-1"", ""nev"": {""rep"": {""m2m:cin"": {""rn"": ""4-20251114051856412"", ""ty"": 4, ""pi"": ""3-20251108122108881442"", ""ri"": ""4-20251114051856413073"", ""ct"": ""20251114T051856"", ""lt"": ""20251114T051856"", ""st"": 146, ""et"": ""20271114T051856"", ""cs"": 62, ""con"": ""['121', 'example', 'example', 'example', 'example', 'example']"", ""lbl"": [""people_count"", ""crowd_density"", ""loitering_detection"", ""fall_detection"", ""fight_detection"", ""running_detection""], ""cr"": ""SOriginAE-CM""}}, ""net"": 3}, ""rvi"": ""2a""}}"
